id,name,brand,category,serving_size,serving_unit,servings_per_container
729856c9-4477-4d37-8dda-386071633bd1,JP Creatine,TBJP,creatine,5,g,60
7388ad3f-8336-4813-b2dc-89d3fb0f0370,Clear Whey Isolate,MyProtein,whey-isolate,25,scoop,20
738af0c5-bdfd-46be-890e-bd2d6e7cb21b,Platinum Pre-Workout,Optimum Nutrition,pre-workout,21,g,20
7460dea0-de2d-4682-90e2-b5c05e80d704,Ghost Hydration,Ghost Lifestyle,hydration,8,serving,40
74fd9941-fca1-4015-b6a6-782064b6ccbb,Blood & Guts 380g,DY Nutrition,pre-workout,19,g,20
75933d3d-dca2-4f97-a1db-5c044fe8c897,Ghost Legend,Ghost Lifestyle,pre-workout,22,g,30
767210a6-f16f-48f1-bc45-dc7bc41dc302,BlueLab 100% Whey,USN,whey,34,scoop,26
76a1cbdd-a296-4c79-95ef-475c9b56cc88,Vital Support,TrainedByJP,cycle-support,8,capsule,30
77049b12-f9d1-4e22-b8a7-21b8bb906e93,DEFENDER EAA,Warrior,eaas,13.3,scoop,30
77daff05-5644-40a0-882e-4b197790bf50,Hunter Test,Hunter Evolve,hormone-support,6,capsule,30
7a9d584f-42ca-482f-9ef3-899427702285,Sport,Nuun,hydration,5,serving,10
7aaebbcb-ac24-4b5f-9156-8f83cfc322b1,Black Edition Ready-to-drink (Chocolate),Huel,meal-replacement,500,bottle,1
7bd67e4c-a497-4a9f-b661-8aaf1cfddd78,ISO 100 Hydrolyzed,Dymatize,whey-isolate,32,scoop,29
7c8cda9e-0429-43f8-b60e-a258c408a5ec,StimuMAX PRO,Strom Sports Nutrition,pre-workout,12,g,30
7cb28341-5b19-4a0b-b49c-e77bb27182c4,Advanced Whey,Per4m,whey,30,scoop,30
7d1a4561-ef23-488e-aa33-f1b0e6f78a51,Organ Shield,Chemical Warfare,cycle-support,3,capsule,30
7da1faee-bd26-4b52-a718-3bbf5f3ab03b,Smart Bar (Cookies & Cream),PhD Nutrition,protein-bar,64,bar,1
7da65034-eccf-451d-bc81-a66dcf9e5ec7,Zero,High5,hydration,4,serving,20
7f5f3751-0e82-463b-8554-6d82cf487eba,Creatine Monohydrate,Warrior,creatine,5,g,100
